"Ensembl_ID","Gene_symbol","Log_FoldChange","logCPM","PValue","AdjPValue","Power","BCOV"
"ENSG00000197766","CFD",-4.009,1.351,3.46526793700763e-37,3.20532074262518e-33,1,0.484
"ENSG00000274619","CFD",-4.009,1.351,3.46783592191408e-37,3.20532074262518e-33,1,0.484
"ENSG00000203710","CR1",-3.486,1.617,1.53189693173318e-36,9.43954889333983e-33,1,0.439
"ENSG00000092068","SLC7A8",-2.114,2.822,1.51708722279835e-31,7.01121860016258e-28,1,0.316
"ENSG00000177575","CD163",-2.709,5.877,1.08248891219007e-30,4.00217800614913e-27,1,0.414
"ENSG00000165457","FOLR2",-2.283,3.26,1.70241793635913e-29,5.24514966192247e-26,1,0.355
"ENSG00000162692","VCAM1",-2.792,4.204,9.30303570901457e-29,2.45679883024062e-25,1,0.438
"ENSG00000233948","TRIM27",3.5,2.202,1.27931085065228e-28,2.95616754814475e-25,1,0.51
"ENSG00000181631","P2RY13",-2.235,1.621,1.10752429823309e-26,2.27485490857078e-23,1,0.349
"ENSG00000088827","SIGLEC1",-2.294,3.472,1.42185248649363e-26,2.62843650653213e-23,1,0.379
"ENSG00000187239","FNBP1",-1.255,4.028,9.12575031805047e-26,1.53362382163165e-22,1,0.214
"ENSG00000019169","MARCO",-2.62,5.547,4.81858364628106e-24,7.42302810709598e-21,1,0.457
"ENSG00000181291","TMEM132E",-2.748,0.105,1.41683731018358e-23,1.96865993809969e-20,1,0.406
"ENSG00000037280","FLT4",-2,2.944,1.49092497746379e-23,1.96865993809969e-20,1,0.354
"ENSG00000073754","CD5L",-2.741,5.485,1.7363154399953e-23,2.1398351482502e-20,1,0.482
"ENSG00000178502","KLHL11",-3.448,-0.824,2.35009682149182e-23,2.71524311513112e-20,1,0.465
"ENSG00000145850","TIMD4",-3.79,2.502,2.66247747318938e-23,2.89520932761053e-20,1,0.629
"ENSG00000096150","RPS18",2.16,3.02,7.71540111793648e-23,7.92371694812076e-20,1,0.384
"ENSG00000166341","DCHS1",-1.778,2.725,9.4780996868369e-23,9.22169214794036e-20,1,0.32
"ENSG00000167601","AXL",-1.692,3.937,1.26384195067147e-22,1.16816911500564e-19,1,0.31
"ENSG00000176788","BASP1",-1.899,2.696,1.61509680631744e-22,1.42174664578972e-19,1,0.338
"ENSG00000162512","SDC3",-1.536,5.021,1.7215045791406e-22,1.44653334772696e-19,1,0.286
