node1	node2
MYC	TERT
SMAD3	JUN
SMAD4	JUN
SP1	ALDOA
TP53	IGF1R
ZBTB16	CCNA2
RUNX1	IL3
STAT1	CDKN1A
STAT3	CDKN1A
RELA	ABCB1
TP53	CDKN1A
TP53	RB1
E2F1	CDKN1A
E2F3	CDKN1A
YY1	NR3C1
TP53	BCL2
STAT4	IRF1
WT1	ODC1
IRF3	IFNA1
HNF1A	IGF1
STAT5A	IGF1
ETS1	TIMP1
ARNT	CYP1B1
AHR	CYP1B1
TP53	CCNB1
STAT5A	CCND1
TP53	MDM2
RBPJ	HES1
ATF2	CCND1
JUN	CCND1
NFATC2	IL4
HNF4A	GUCY2C
RARA	SFTPB
JUN	CDKN1A
JUN	TP53
STAT3	PRF1
PPARG	SERPINE1
SP1	FASLG
AR	KLK3
ATF1	CFTR
SP1	GAST
GATA4	NPPA
RARB	RARG
RARG	RARB
JUN	CCL5
RELA	CD40
RELA	IFNG
ESR2	RARA
ESR1	RARA
PAX6	KRT12
EGR1	LHB
FOS	TP53
TP53	FOS
SP1	FOS
SP1	EGR1
MYC	ENO1
TP53	CCND1
CREB1	PCK1
RELA	NOS2
NFKB1	NOS2
ATF4	DDIT3
ATF4	ATF3
ATF3	DDIT3
SMAD4	SERPINE1
SMAD3	SERPINE1
STAT1	IRF8
TP53	S100A2
TP53	BAX
TP53	CCNG1
TP53	GADD45A
STAT4	IFNG
PPARG	LPL
NR5A1	CYP17A1
FOS	RUNX1
FOXO3	FASLG
USF1	FASN
ELK1	SOD1
FLI1	GP9
FLI1	ITGA2B
EGR1	ELK1
ELK1	EGR1
POU1F1	PRL
CEBPA	ALB
CREB1	CCND1
STAT1	IFNG
JUN	IL6
HIF1A	EPO
MYC	CDC25A
ARNT	EPO
TP73	MDM2
TP53	TP73
TP73	CDKN1A
E2F4	E2F1
SP1	CDKN1A
ETS2	IL5
GATA3	IL5
ETS1	IL5
SP1	TGFB1
JUN	OXTR
REL	IL2RA
SP1	LDLR
YY1	LDLR
CEBPA	PCK1
WT1	CDKN1A
FOS	ERCC1
YY1	CXCR4
MYC	CXCR4
USF1	CXCR4
NR5A1	LHB
ATF2	TNF
JUN	TNF
LEF1	CCND1
CEBPB	STAR
NR5A1	STAR
SRF	FOS
MYC	CDKN1A
JUN	IL2
SOX9	MIA
IRF1	IFNA1
IRF1	IRF2
TP53	LITAF
TP53	BTG2
SP3	CDKN1A
TP53	PCNA
STAT1	IFNB1
ATF2	JUN
EGR1	F3
SRF	EGR1
HNF4A	SERPINA1
JUN	CSF2
NFATC2	CSF2
MEF2A	JUN
RUNX2	MMP13
YBX1	MMP13
PDX1	INS
HNF1A	HNF4A
HNF4A	HNF1A
HNF1A	INS
RFX1	PCNA
E2F1	DHFR
WT1	THBS1
SP1	IGFBP4
MYC	TP53
TP53	MYC
NFKB1	TP53
TP53	RELA
RELA	TP53
FOXO1	IGFBP1
STAT5A	CSN2
SPI1	UTRN
AHR	CYP1A1
STAT1	SOCS3
STAT3	SOCS3
POU2F1	IL5
YY1	IL5
RARA	PLAU
SP1	PLAU
LEF1	MMP7
SPI1	BTK
SP1	BTK
SP3	BTK
SP1	SP3
STAT6	IL4
EGR1	PDGFA
JUN	ABCB1
RELA	CD40LG
CEBPA	SP1
SP1	ODC1
MYC	BRCA1
NR5A1	CYP19A1
MYC	ODC1
MYC	PTMA
MYCN	NDRG1
MYC	NDRG1
TP63	CDKN1A
SP1	CYP11A1
MAZ	MYC
POU1F1	GH1
CREB1	EGR1
EGR1	ABCB1
WT1	ABCB1
YY1	CETP
SREBF1	CETP
SREBF1	SCD5
STAT1	CD40
NR1I2	CYP3A4
HNF1A	CYP7A1
STAT1	IFNA1
WT1	BCL2
FOS	CLU
FOSL1	CLU
JUNB	CLU
CREB1	TH
ESR2	OXT
SP1	ABCB1
JUN	SPI1
HIF1A	VEGFA
SMAD4	CDKN1A
ESR1	C3
EGR1	TNF
SP1	FN1
PPARG	FABP4
STAT5A	BCL2L1
SP1	LEP
STAT5A	OSM
EGR1	MMP14
PPARG	CD36
STAT1	PTGS2
CEBPB	IL6
PAX5	CD79A
ETS1	PARP1
POU2F1	HLA-DRA
ETS1	MGAT5
STAT1	HSP90AA1
HSF1	HSPA4
CEBPB	HP
HIF1A	TFRC
MYC	HSPA4
SP1	PSEN1
NR0B1	NR5A1
NR5A1	NR0B1
SP1	SLC25A5
ESR1	E2F1
SP1	E2F1
TFAP2A	CYP11A1
SP1	SPI1
SP1	PLAT
SP3	PLAT
SPI1	IL1B
PAX5	BLK
SREBF2	LDLR
PGR	IGFBP1
NR5A1	CYP11A1
CEBPB	CXCL8
HNF1A	UGT1A1
NFKB1	CCND1
RELA	CCND1
CEBPB	IL1B
RELA	PLAU
KLF1	HBB
REL	CCL2
RELA	CCL2
TP53	MDM4
WT1	MYCN
CREB1	JUN
SP1	HMGA2
SP3	HMGA2
RELA	CXCL8
PAX3	MITF
RELA	TNF
NFKB1	TNF
NFIC	CYP1A1
E2F1	RB1
SP1	LHCGR
ESRRA	CYP19A1
USF1	PKLR
STAT3	JUNB
SP1	CCND1
TFAP2A	ESR1
ESR1	TFAP2C
TFAP2C	ESR1
PAX8	TG
WT1	IGF1R
ESR1	CCND1
SP1	ITGAV
SP3	ITGAV
E2F1	CCNE1
E2F1	CCND1
YY1	TP53
IRF1	CIITA
SP1	MMP2
SP3	MMP2
TFAP2A	MMP2
ETV4	MMP2
ATF2	CDKN1A
MYC	CCND2
EGR1	FAS
FLI1	TGFBR2
SP1	BAX
ETS1	TP53
ETS2	TP53
EGR1	NAB2
TP53	CDK1
NR1H4	FABP6
TP53	CDKN1B
TP53	MAP4
MEF2C	JUN
TFAP2A	CDH1
STAT6	IRF1
IRF1	STAT1
STAT1	IRF1
PPARA	UCP1
PPARG	UCP1
EPAS1	VEGFA
CEBPB	FOS
ATF1	IL10
CREB1	IL10
RELA	IL6
SPI1	ITGB2
HNF1A	ALB
USF1	CCNB1
AR	MYC
SP1	F3
NFKB1	ICAM1
NFKB1	VCAM1
RELA	ICAM1
RELA	VCAM1
TP53	ING1
ETS1	FLT1
CEBPE	LTF
IRF2	CIITA
USF1	BRCA2
ELF1	BRCA2
USF2	BRCA2
SP1	TNF
SMAD3	SMAD7
SMAD4	SMAD7
FOSL1	ELN
JUN	ELN
HIF1A	CDKN1A
TFAP2A	MPG
ATF6	HSPA5
ATF1	TGFB2
MYC	CAD
IRF8	NCF2
EGR1	TP73
ERG	ICAM2
SP1	NOS3
CTCF	APP
NFKB1	BCL2L1
RELA	BCL2L1
SREBF1	FASN
CREM	IL2
MITF	TYR
HIF1A	SERPINE1
